Community Area,CCVI,Population,Socioeconomic Status (Surgo CCVI),"Household
Composition
and Disability
(Surgo CCVI)",Cumulative mobility ratio (current over prior year),% adults w/o PCP (HCS),% Frontline essential workers (% of CA population),% Age 65+ (ACS),% 18-64yo adults w/1+ comorbid conditions (HCS),Cumulative COVID-19 incidence rate (Jan-Dec 2020),Cumulative COVID-19 hospital admission rate (Jan-Dec 2020),Cumulative COVID-19 crude mortality rate (non-congregate deaths only) (Jan-Dec 2020),  
West Englewood,64,26346,0.94,0.85,0.99,30.2,12.1,20.2,76.4,7674.8,1598,242.9,
New City,60,39508,0.92,0.64,0.98,42.7,17.5,12.1,56.7,9901.8,1136.5,151.9,
Gage Park,59,37478,0.92,0.48,0.94,32.8,19.5,9.2,44.7,13370.5,1064.6,216.1,
North Lawndale,58,32073,0.93,0.81,0.99,33.5,13.1,10.8,60,6831.3,1309.5,208.9,
South Lawndale,58,72157,0.94,0.56,0.92,35.9,15.9,9.3,48.4,11120.2,1136.4,225.9,
Chicago Lawn,58,51352,0.94,0.58,0.9,29.8,16.8,12.3,59.5,10934.3,1180.1,155.8,
Englewood,55,22921,0.97,0.89,1,29.6,10.9,14.4,60.7,5833.1,1278.3,161.4,
Roseland,55,39162,0.81,0.82,0.96,29.3,13.7,18.1,68.7,5717.3,1212.9,176.2,
Archer Heights,53,13726,0.83,0.4,0.9,23.1,18.2,12.7,69.2,12312.4,1034.5,145.7,
Washington Heights,53,26742,0.75,0.83,0.93,31.3,15.4,18.2,54.7,5781.2,1256.5,157.1,
Austin,53,93727,0.88,0.8,0.94,31.1,15.2,14.3,62.4,7791.8,1022.1,151.5,
Montclare,53,14267,0.65,0.5,0.82,34.6,15.8,17,60.8,10338.5,1030.3,161.2,
Belmont Cragin,52,78601,0.81,0.51,0.84,33.2,20.2,9.6,40.2,13069.8,1011.4,160.3,
South Deering,52,15475,0.92,0.89,0.93,30.8,13,15.7,64.3,6785.1,1111.5,135.7,
Humboldt Park,52,55364,0.88,0.63,0.91,33.4,18.8,9.6,56.1,9630.8,1040.4,137.3,
Hermosa,50,23481,0.81,0.44,0.87,15.9,22,10.6,52.7,12184.3,975.3,183.1,
Brighton Park,49,44156,0.89,0.44,0.9,33.5,18.7,9.6,42.2,10861.5,865.1,140.4,
West Pullman,49,30020,0.86,0.81,0.97,26,15.7,16.5,62,4870.1,1039.3,179.9,
Garfield Ridge,49,37207,0.61,0.44,0.82,20.2,16.5,15.7,50.2,10729.2,1056.3,161.3,
Lower West Side,49,33203,0.73,0.18,0.9,31.4,20.6,9.8,42.5,10267.1,975.8,177.7,
West Elsdon,49,19126,0.76,0.39,0.88,36.2,18.1,10.2,43.9,11821.6,946.4,141.2,
West Lawn,49,31886,0.84,0.5,0.88,16.4,19.8,10.4,42.9,13811.7,1063.2,134.9,
Auburn Gresham,48,45909,0.88,0.78,0.97,30.1,15.7,17.9,55.5,5314.9,1119.6,122,
East Garfield Park,48,18940,0.95,0.81,0.96,22.4,10.9,10.2,65.5,6610.3,1145.7,116.2,
West Garfield Park,47,16415,0.98,0.92,0.94,42.6,12.5,11.9,63.5,5945.8,1035.6,103.6,
Pullman,46,6840,0.76,0.59,0.96,26.7,18.6,15.6,47.8,5482.5,818.7,190.1,
Calumet Heights,46,12815,0.67,0.76,0.9,21,16.5,23.1,52.2,5423.3,1248.5,132.7,
Greater Grand Crossing,46,30149,0.89,0.77,0.98,37.5,15.4,14.4,68.2,5058.2,1031.5,109.5,
South Shore,46,50265,0.81,0.69,0.94,26.7,15.8,13.3,59.5,4995.5,1124,137.3,
Ashburn,45,43356,0.69,0.41,0.89,22.8,17,11.7,43.9,9484.3,1144,117.6,
Avalon Park,44,9713,0.77,0.83,0.93,16.5,12.9,22.1,75.2,4725.6,1060.4,144.1,
East Side,44,23723,0.88,0.62,0.92,32.7,17.1,11.1,46.1,10361.3,708.2,97,
South Chicago,44,29936,0.9,0.8,0.92,24.5,14.4,14,66.3,4947.2,1005.5,147,
Morgan Park,43,27114,0.51,0.56,0.88,31.6,13.8,18.2,62.7,5783,877.8,143.8,
Chatham,43,30967,0.8,0.8,0.94,18.6,14.7,15.9,68.3,4986,1107.6,129.2,
Clearing,43,24976,0.62,0.39,0.79,25.5,17.7,12.3,60.5,10061.7,824.8,132.1,
Grand Boulevard,41,22643,0.75,0.76,0.88,25.2,13.8,15.1,47.5,6293.3,1126.2,97.2,
Washington Park,41,10969,0.92,0.91,0.96,27,12.1,7.7,78.3,5178.2,929.9,118.5,
North Park,41,18914,0.52,0.44,0.75,21.6,14.8,19.8,53.6,7211.6,840.6,137.5,
Albany Park,38,49806,0.68,0.27,0.74,31.1,19.2,10.1,44.8,7750.1,728.8,112.4,
Woodlawn,38,24844,0.86,0.74,0.86,39.1,12.2,12.7,67.7,5107.9,929.8,88.6,
McKinley Park,37,15177,0.87,0.28,0.81,25.4,20,11.2,35.7,8216.4,685.2,98.8,
West Ridge,36,78466,0.7,0.45,0.75,19.5,17.6,13.3,37.7,7014.5,944.4,103.2,
Dunning,36,43445,0.41,0.28,0.79,23,15.8,17.6,41.6,8875.6,713.5,108.2,
Douglas,36,21353,0.73,0.48,0.79,35.6,12.1,14.8,33.8,5067.2,1053.7,112.4,
Hegewisch,36,9089,0.61,0.13,0.9,21.2,16.4,18.7,57,10331.2,539.1,88,
Riverdale,36,7359,0.97,0.65,1.04,35.8,12.1,4.8,56.1,2908,625.1,135.9,
Portage Park,34,64605,0.55,0.2,0.77,20.3,17.3,12.8,44.5,8620.1,702.7,108.4,
Oakland,31,7227,0.86,0.92,0.84,21.1,15.1,9.1,39.3,5050.5,1023.9,83,
Norwood Park,31,43405,0.23,0.24,0.72,18.3,17,19.4,37.1,6575.3,705,112.9,
Rogers Park,31,55475,0.67,0.19,0.74,26.6,19.9,8.8,55.8,6132.5,841.8,66.7,
Armour Square,31,13538,0.93,0.44,0.72,8.6,18.6,24.9,37.1,3752.4,642.6,125.6,
Mount Greenwood,30,19190,0.15,0.24,0.75,19,22.1,12.5,39.8,8384.6,646.2,83.4,
Irving Park,30,53530,0.4,0.12,0.72,23.8,18.7,10.5,51.6,6865.3,551.1,104.6,
Avondale,28,38118,0.59,0.14,0.73,21.4,19.1,9.7,51.4,7573.8,582.4,63,
Logan Square,28,73277,0.44,0.11,0.66,33.1,17.4,7.1,41.4,6863,584.1,91.4,
Beverly,27,19791,0.14,0.22,0.76,21.8,16.9,17.5,34.9,6452.4,621.5,85.9,
Jefferson Park,26,27503,0.4,0.23,0.73,22.1,17.4,16,28.4,6326.6,483.6,94.5,
Kenwood,25,17954,0.47,0.43,0.76,30.4,13.9,16.9,41.2,3943.4,774.2,61.3,
Uptown,24,58979,0.47,0.14,0.66,35.6,15.9,12.6,33.8,5208.6,690.1,67.8,
Edison Park,24,11264,0.05,0.14,0.7,17,16,16.3,57.5,6436.4,479.4,71,
Bridgeport,22,34540,0.71,0.17,0.65,23.7,19.1,13.2,36.3,4849.4,498,69.5,
Near West Side,20,63170,0.66,0.31,0.69,27.8,11.4,7.3,30.6,6376.4,577.8,49.1,
O'Hare,19,23669,0.55,0.27,0.64,26.7,17.4,16.2,32.5,4268.1,337,60.8,
Forest Glen,19,19384,0.18,0.43,0.64,17.3,12.9,18.4,44.5,5623.2,309.5,46.4,
West Town,18,83757,0.28,0.05,0.65,30.3,13.7,5.9,32.8,6601.2,512.2,58.5,
Edgewater,17,57649,0.44,0.24,0.69,21.4,16.5,15.6,32.6,3963.6,522.1,55.5,
Hyde Park,17,27482,0.43,0.07,0.68,41.9,19.1,15.7,24,2787.3,334.8,7.3,
Near South Side,15,24729,0.13,0.25,0.54,45,9.9,10.8,30,4949.7,448.9,36.4,
Lincoln Square,15,42103,0.24,0.09,0.69,21.3,16.2,9.3,38.2,4612.5,418,87.9,
Near North Side,12,93318,0.13,0.11,0.44,19.8,7.7,16.1,30.4,5273.4,377.2,32.1,
Loop,8,38655,0.23,0.01,0.5,34,8.7,9.9,20.4,4265.9,212.1,20.7,
Lincoln Park,7,69465,0.11,0.03,0.44,21.1,9.1,9.6,28.9,4976.6,411.7,21.6,
Lake View,5,101365,0.1,0.05,0.47,18.8,12.5,8.1,30.4,4705.8,300.9,20.7,
North Center,4,35543,0.1,0.08,0.49,14.6,11.3,8.2,35.2,3910.8,244.8,28.1,
