CA ID,Community Area,% â€‹At Least One Dose,% Point Increase in Last Week*,% Complete Series,% Point Increase in Last Week*,PCP
14,ALBANY PARK,81.1,0.6,74.9,0.3,FALSE
57,ARCHER HEIGHTS,84.6,0.4,78.6,0.4,FALSE
34,ARMOUR SQUARE,84.9,0.6,78.2,0.2,FALSE
70,ASHBURN,76.6,0.5,70.9,0.3,FALSE
71,AUBURN GRESHAM,57.2,0.6,51,0.4,FALSE
25,AUSTIN,64.3,0.6,57.1,0.5,FALSE
45,AVALON PARK,66.1,0.5,60,0.4,FALSE
21,AVONDALE,78.3,0.6,72.7,0.3,FALSE
19,BELMONT CRAGIN,82.4,0.5,75,0.3,FALSE
72,BEVERLY,82.5,0.6,77.5,0.4,TRUE
60,BRIDGEPORT,78.6,0.5,73.9,0.2,FALSE
58,BRIGHTON PARK,80.5,0.5,74.4,0.3,FALSE
47,BURNSIDE,71.1,0.5,63.8,0.4,TRUE
48,CALUMET HEIGHTS,71.8,0.4,65.5,0.3,FALSE
44,CHATHAM,59.8,0.6,53.4,0.4,FALSE
66,CHICAGO LAWN,77.1,0.7,70.1,0.4,TRUE
64,CLEARING,70.5,0.4,66,0.3,TRUE
35,DOUGLAS,62.8,0.6,55.6,0.3,FALSE
17,DUNNING,68.9,0.4,64.6,0.3,TRUE
27,EAST GARFIELD PARK,63.5,0.4,56,0.5,TRUE
52,EAST SIDE,68.9,0.6,62.1,0.3,TRUE
77,EDGEWATER,77.7,0.6,71.4,0.2,FALSE
9,EDISON PARK,82.2,0.5,78.4,0.3,FALSE
68,ENGLEWOOD,58.2,0.7,50.6,0.6,FALSE
12,FOREST GLEN,85.6,0.6,81,0.2,TRUE
37,FULLER PARK,63.4,0.7,55.2,0.9,FALSE
63,GAGE PARK,87.4,0.5,81.1,0.3,FALSE
56,GARFIELD RIDGE,72.2,0.4,67.6,0.2,FALSE
38,GRAND BOULEVARD,65.9,0.5,59.1,0.3,FALSE
69,GREATER GRAND CROSSING,52.1,0.5,45.9,0.4,FALSE
55,HEGEWISCH,58.6,0.6,52.6,0.2,FALSE
20,HERMOSA,85,0.4,77.6,0.3,FALSE
23,HUMBOLDT PARK,74.7,0.5,67.5,0.4,FALSE
41,HYDE PARK,82.3,0.7,74.7,0.2,FALSE
16,IRVING PARK,79.4,0.5,74,0.2,FALSE
11,JEFFERSON PARK,72.8,0.3,68.6,0.2,FALSE
39,KENWOOD,71.1,0.6,64.8,0.3,TRUE
6,LAKE VIEW,80.7,0.6,74.8,0.2,TRUE
7,LINCOLN PARK,75.7,0.6,69.1,0.2,TRUE
4,LINCOLN SQUARE,81.5,0.5,76.4,0.2,FALSE
22,LOGAN SQUARE,79.2,0.6,73.4,0.2,FALSE
32,LOOP,88.4,1,75.5,0.2,FALSE
31,LOWER WEST SIDE,84,0.6,77.6,0.2,TRUE
59,MCKINLEY PARK,85.9,0.4,80,0.2,FALSE
18,MONTCLARE,59.6,0.3,53.3,0.2,FALSE
75,MORGAN PARK,55.1,0.4,50.6,0.3,FALSE
74,MOUNT GREENWOOD,67.7,0.3,64.4,0.3,FALSE
8,NEAR NORTH SIDE,86.1,0.8,75.3,0.2,FALSE
33,NEAR SOUTH SIDE,86.1,0.7,78.3,0.2,FALSE
28,NEAR WEST SIDE,80.3,0.7,73.2,0.3,FALSE
61,NEW CITY,73.3,0.6,66.3,0.4,FALSE
5,NORTH CENTER,87.1,0.6,81.2,0.2,FALSE
29,NORTH LAWNDALE,58.3,0.5,51.2,0.5,FALSE
13,NORTH PARK,78.3,0.5,72,0.2,FALSE
10,NORWOOD PARK,67.2,0.3,63.6,0.1,FALSE
36,OAKLAND,61.9,0.5,56.1,0.5,FALSE
76,OHARE,33.2,0.2,30.8,0.2,FALSE
15,PORTAGE PARK,75.2,0.4,70.2,0.2,TRUE
50,PULLMAN,65,0.6,58.2,0.3,FALSE
54,RIVERDALE,28.7,0.5,23.1,0.2,FALSE
1,ROGERS PARK,77.3,0.4,71.2,0.2,FALSE
49,ROSELAND,60.1,0.5,53,0.5,FALSE
46,SOUTH CHICAGO,53,0.5,46.6,0.4,FALSE
51,SOUTH DEERING,61.3,0.6,54.6,0.4,FALSE
30,SOUTH LAWNDALE,74.5,0.5,67.8,0.3,FALSE
43,SOUTH SHORE,56.2,0.6,50,0.4,FALSE
3,UPTOWN,80.6,0.5,74.1,0.3,FALSE
73,WASHINGTON HEIGHTS,60.9,0.6,54.7,0.4,FALSE
40,WASHINGTON PARK,52.3,0.6,45,0.6,FALSE
62,WEST ELSDON,81.7,0.6,76.2,0.3,FALSE
67,WEST ENGLEWOOD,62,0.7,54.3,0.5,TRUE
26,WEST GARFIELD PARK,56.9,0.7,49.2,0.5,FALSE
65,WEST LAWN,90.3,0.6,84.4,0.3,FALSE
53,WEST PULLMAN,51.3,0.4,45.5,0.4,TRUE
2,WEST RIDGE,82.5,0.5,75.9,0.2,FALSE
24,WEST TOWN,83.6,0.7,76.9,0.2,FALSE
42,WOODLAWN,54.2,0.5,48.1,0.3,FALSE